model,predicted,observed
Logistic,0.2135,0.1822
Logistic,0.3322,0.3615
Logistic,0.4127,0.385
Logistic,0.4769,0.4019
Logistic,0.54,0.5258
Logistic,0.5966,0.6385
Logistic,0.6504,0.6168
Logistic,0.7055,0.7277
Logistic,0.7681,0.8122
Logistic,0.857,0.8131
XGBoost,0.1987,0.2056
XGBoost,0.3191,0.385
XGBoost,0.4098,0.3944
XGBoost,0.4776,0.4626
XGBoost,0.5338,0.5117
XGBoost,0.581,0.5915
XGBoost,0.6357,0.6355
XGBoost,0.6976,0.6291
XGBoost,0.7683,0.7934
XGBoost,0.8722,0.8551
Vegas line,0.1981,0.1395
Vegas line,0.3196,0.2786
Vegas line,0.3897,0.4192
Vegas line,0.4455,0.4425
Vegas line,0.549,0.5161
Vegas line,0.6072,0.5857
Vegas line,0.6607,0.7033
Vegas line,0.719,0.7849
Vegas line,0.7811,0.7584
Vegas line,0.8577,0.8995
